ai_feasibility,cost_of_error,data_noise,description,implicit_knowledge,logic,role,title
67.1,4,2,Verifying database backups by performing test restores,2,2,devops,Database backup verification
76.4,2,2,Writing detailed postmortems for production incidents,3,2,devops|dev,Incident postmortem writing
72.1,3,2,Defining service level agreements and objectives,3,2,product|devops,SLA/SLO definition
75.7,3,2,Managing on-call schedules and escalation procedures,2,2,devops,On-call rotation management
72.1,3,2,Creating runbooks for common production issues,3,2,devops,Production runbook creation
78.6,3,1,Checking dependencies for license compatibility,2,2,dev|devops,Dependency license compliance check
83.6,2,1,Writing release notes for product releases,2,2,product|dev,Release notes writing
95.7,1,1,Maintaining changelog file with version changes,1,1,dev,Change log maintenance
72.1,3,2,Performing accessibility audits using WAVE or similar tools,3,2,qe|ux,Accessibility audit
60.0,4,2,Running security scans using tools like OWASP ZAP or SonarQube,3,3,qe|devops,Security vulnerability scanning
67.9,3,2,Establishing performance baselines for system components,3,3,qe|devops,Performance baseline establishment
87.1,2,1,Cleaning up test environments and test data,1,2,qe,Test environment cleanup
67.9,3,2,Creating reusable components for the design system,3,3,ux-dev,Design system component creation
61.4,3,3,Coordinating work across different teams and departments,4,2,product,Cross-functional team coordination
76.4,2,2,Planning and executing technical spikes for investigation,3,2,dev,Technical spike planning
72.1,3,2,Planning and communicating API deprecation timelines,3,2,dev|product,API deprecation planning
67.9,3,2,Monitoring and analyzing database index usage,3,3,dev|devops,Database index usage monitoring
80.0,2,2,Monitoring cache hit/miss ratios and optimizing cache strategy,2,2,dev|devops,Cache hit ratio monitoring
67.9,3,2,Analyzing and optimizing infrastructure costs,3,3,devops,Infrastructure cost analysis
57.1,3,3,Planning team capacity and workload distribution,4,3,product,Team capacity planning
67.9,3,3,Triaging customer support tickets and prioritizing issues,3,2,product|qe,Customer support ticket triage
67.9,3,3,Coordinating UAT sessions with customers,3,2,product|qe,User acceptance testing coordination
72.9,2,3,Tracking and analyzing feature adoption metrics,3,2,product,Feature adoption tracking
95.7,1,1,Generating documentation from code comments and annotations,1,1,dev,Code documentation generation
83.6,2,1,Setting up mock servers for API development and testing,2,2,dev|qe,API mock server setup
76.4,2,2,Creating and maintaining infrastructure architecture diagrams,3,2,devops,Infrastructure diagram creation
67.9,3,2,Analyzing and optimizing slow database queries,3,3,dev|devops,Database slow query analysis
71.4,3,2,Integrating third-party services and APIs,2,3,dev,Third-party service integration
60.0,4,2,Implementing data retention and deletion policies,3,3,dev|devops,Data retention policy implementation
80.0,2,2,Creating dashboards to track API usage and performance,2,2,dev|devops,API analytics dashboard creation
72.1,3,2,Documenting security practices for compliance requirements,3,2,devops,Security compliance documentation
67.9,3,2,Automating customer onboarding processes,3,3,dev,Customer onboarding automation
78.6,3,1,Monitoring application error rates and setting alerts,2,2,devops,Error rate monitoring
78.6,3,1,Setting up APM tools like New Relic or Datadog,2,2,devops,Application performance monitoring setup
60.0,4,2,Testing disaster recovery procedures and documenting results,3,3,devops,Disaster recovery testing
80.7,2,1,Creating and maintaining code review guidelines,3,2,dev,Code review guidelines creation
80.0,1,2,Writing technical blog posts about product features,3,2,dev|product,Technical blog post writing
83.6,2,1,Creating and maintaining developer onboarding materials,2,2,dev,Developer onboarding documentation
83.6,2,1,"Writing TypeScript interfaces, types, and type guards",2,2,dev=typescript,TypeScript type definition creation
83.6,2,1,Adding type hints and mypy validation for Python code,2,2,dev=python,Python type hint annotations
83.6,2,1,Implementing nullable reference types in C# code,2,2,dev=c#,C# nullable reference types
83.6,2,1,Writing @spec and @type definitions for Elixir functions,2,2,dev=elixir,Elixir type specifications
83.6,2,1,Defining interfaces and implementing them in Go,2,2,dev=golang,Go interfaces definition
83.6,3,1,Setting up secure database connection strings with SSL,2,1,dev|devops,Database connection string configuration
78.6,3,1,Configuring Redis persistence with RDB and AOF,2,2,devops,Redis persistence configuration
78.6,3,1,Setting up topic retention policies and compaction,2,2,devops,Kafka retention policy configuration
75.0,3,1,Creating and configuring exchange bindings and routing keys,2,3,dev|devops,RabbitMQ exchange binding
78.6,3,1,Implementing liveness probes for Kubernetes pods,2,2,dev|devops,Kubernetes liveness probes
78.6,3,1,Implementing readiness probes for application readiness,2,2,dev|devops,Kubernetes readiness probes
78.6,3,1,Implementing startup probes for slow-starting applications,2,2,dev|devops,Kubernetes startup probes
90.0,1,1,Writing pre-commit hooks for code quality checks,1,2,dev,Git pre-commit hooks
95.7,1,1,Implementing commit message format validation hooks,1,1,dev,Git commit message validation
83.6,2,1,Setting up GitHub webhooks for CI/CD integration,2,2,devops,GitHub webhook configuration
83.6,2,1,Configuring caching for GitHub Actions workflows,2,2,devops,GitHub Action cache configuration
87.1,2,1,Managing release assets and artifacts in GitHub releases,1,2,devops,GitHub release asset management
72.9,4,1,Implementing parameterized queries to prevent SQL injection,2,2,dev,Database query parameterization
72.9,4,1,Implementing input sanitization for security,2,2,dev,Input sanitization implementation
78.6,3,1,Setting up CSP headers for web applications,2,2,dev|devops,Content Security Policy configuration
78.6,3,1,"Configuring security headers like HSTS, X-Frame-Options",2,2,dev|devops,HTTP security headers configuration
83.6,2,1,Implementing proper response codes for rate-limited requests,2,2,dev,API rate limit response handling
67.9,3,2,Implementing query batching for GraphQL performance,3,3,dev,GraphQL query batching
67.9,3,2,Using DataLoader pattern to prevent N+1 queries,3,3,dev,GraphQL data loader implementation
83.6,2,1,Implementing cursor-based or offset pagination for APIs,2,2,dev,REST API pagination implementation
67.9,3,2,Implementing response caching with proper cache invalidation,3,3,dev,API response caching
75.0,3,1,Implementing retry logic for failed webhook deliveries,2,3,dev,Webhook retry mechanism
47.9,4,2,Implementing strategies to prevent database deadlocks,4,4,dev,Database deadlock prevention
67.9,3,2,Implementing optimistic locking for concurrent updates,3,3,dev,Optimistic locking implementation
67.9,3,2,Implementing pessimistic locking for critical sections,3,3,dev,Pessimistic locking implementation
75.0,3,1,Implementing idempotency keys for API requests,2,3,dev,Idempotency key implementation
60.0,4,2,Configuring service mesh sidecars for traffic management,3,3,devops,Service mesh sidecar configuration
67.9,3,2,Fine-tuning circuit breaker thresholds and timeouts,3,3,dev|devops,Circuit breaker threshold tuning
83.6,2,1,Implementing feature toggles with user targeting,2,2,dev,Feature toggle implementation
67.9,3,2,Setting up A/B test experiments with proper randomization,3,3,dev|product,A/B test experiment setup
67.9,3,2,Implementing user segmentation for personalization,3,3,dev,User segmentation logic
47.9,4,2,Implementing event sourcing for domain events,4,4,dev,Event sourcing implementation
47.9,4,2,Implementing Command Query Responsibility Segregation,4,4,dev,CQRS pattern implementation
47.9,4,2,Implementing distributed transaction sagas,4,4,dev,Saga pattern implementation
67.9,3,2,Implementing auto-scaling for message queue consumers,3,3,dev|devops,Message queue consumer scaling
67.9,3,2,Tuning connection pool sizes and timeouts,3,3,dev|devops,Database connection pooling tuning
67.9,3,2,Configuring thread pools for optimal performance,3,3,dev,Thread pool configuration
67.9,3,2,Tuning garbage collection parameters for JVM or .NET,3,3,dev|devops,Garbage collection tuning
47.9,4,3,Using memory profilers to detect and fix memory leaks,4,4,dev,Memory leak detection and fixing
67.9,3,2,Using CPU profilers to identify and optimize hot paths,3,3,dev,CPU profiling and optimization
67.9,3,2,Optimizing network calls and reducing round trips,3,3,dev,Network latency optimization
60.0,4,2,Implementing distributed locks using Redis or ZooKeeper,3,3,dev,Distributed lock implementation
67.9,3,2,Configuring service discovery with Consul or Kubernetes DNS,3,3,devops,Service discovery configuration
60.0,4,2,Automating blue-green deployments with traffic shifting,3,3,devops,Blue-green deployment automation
60.0,4,2,Automating canary releases with automated rollback,3,3,devops,Canary release automation
